date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:29:34	1483/1483	---MCZ	404	error ('Not%20Found')	text/html	etag:1704018535-ssl-df	https://babydragon.space/robots.txt		(from )
21:29:34	39396/39396	---MCZ	200	added ('OK')	text/html	etag:%22497ab77582ac49d7320b84a18beb2ebb-ssl-df%22	https://babydragon.space/	C:/Users/LENOVO/Desktop/alok%20aditya/lelo/babydragon.space/index.html	(from )
21:29:35	174703/174703	---M--	200	added ('OK')	image/png	etag:%2200f35b67731430f451d37ba37bf1b4b8-ssl%22	https://babydragon.space/assets/img/about_picture.png	C:/Users/LENOVO/Desktop/alok%20aditya/lelo/babydragon.space/assets/img/about_picture.png	(from https://babydragon.space/)
21:29:35	31139/31139	---MCZ	200	added ('OK')	text/css	etag:%22789d2d75429b9f0004f1ab959d4f6ede-ssl-df%22	https://babydragon.space/assets/css/style.min.css	C:/Users/LENOVO/Desktop/alok%20aditya/lelo/babydragon.space/assets/css/style.min.css	(from https://babydragon.space/)
21:29:36	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/Users/LENOVO/Desktop/alok%20aditya/lelo/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://babydragon.space/)
21:29:39	4847568/4847568	---MCZ	200	added ('OK')	image/svg+xml	etag:%2289aa2853d1d4ead3fa5d38496c4f57dc-ssl-df%22	https://babydragon.space/assets/img/logo.svg	C:/Users/LENOVO/Desktop/alok%20aditya/lelo/babydragon.space/assets/img/logo.svg	(from https://babydragon.space/)
21:29:40	5346/5346	---M--	200	added ('OK')	image/png	etag:%22c51d5cfd1c945a4d11c7fda7c4c584d6-ssl%22	https://babydragon.space/assets/img/social_x.png	C:/Users/LENOVO/Desktop/alok%20aditya/lelo/babydragon.space/assets/img/social_x.png	(from https://babydragon.space/)
21:29:41	4468/4468	---M--	200	added ('OK')	image/png	etag:%227db43033885d439f8173d3ddb22f43f4-ssl%22	https://babydragon.space/assets/img/social_tg.png	C:/Users/LENOVO/Desktop/alok%20aditya/lelo/babydragon.space/assets/img/social_tg.png	(from https://babydragon.space/)
21:29:45	31108/31108	---M--	200	added ('OK')	image/png	etag:%22a30b4173f065df08e33b788b0006fc42-ssl%22	https://babydragon.space/assets/img/bdragon_text.png	C:/Users/LENOVO/Desktop/alok%20aditya/lelo/babydragon.space/assets/img/bdragon_text.png	(from https://babydragon.space/)
21:29:46	2361/2361	---M-Z	200	added ('OK')	image/svg+xml	etag:%2218a9d9b3d795024c3006469826ddd626-ssl-df%22	https://babydragon.space/assets/img/comment_picture.svg	C:/Users/LENOVO/Desktop/alok%20aditya/lelo/babydragon.space/assets/img/comment_picture.svg	(from https://babydragon.space/)
21:29:46	565637/565637	---M--	200	added ('OK')	image/png	etag:%227b24cb2b7fb9acbeef127de7c19ee539-ssl%22	https://babydragon.space/assets/img/intro_picture.png	C:/Users/LENOVO/Desktop/alok%20aditya/lelo/babydragon.space/assets/img/intro_picture.png	(from https://babydragon.space/)
21:29:47	122894/122894	---MCZ	200	added ('OK')	image/svg+xml	etag:%22324e9c1bc247cb77a215f5a615d54b75-ssl-df%22	https://babydragon.space/assets/img/base_picture.svg	C:/Users/LENOVO/Desktop/alok%20aditya/lelo/babydragon.space/assets/img/base_picture.svg	(from https://babydragon.space/)
21:29:48	17228/17228	---MCZ	200	added ('OK')	image/svg+xml	etag:%22b9f73ab1c69ae19284d2ed50c67f87aa-ssl-df%22	https://babydragon.space/assets/img/calc_pict.svg	C:/Users/LENOVO/Desktop/alok%20aditya/lelo/babydragon.space/assets/img/calc_pict.svg	(from https://babydragon.space/)
21:29:49	4113335/4113335	---MCZ	200	added ('OK')	application/pdf	etag:%2222e9c1d006e8f242d95b2d8e9a8827b0-ssl-df%22	https://babydragon.space/WHITEPAPER-BABY-DRAGON.pdf	C:/Users/LENOVO/Desktop/alok%20aditya/lelo/babydragon.space/WHITEPAPER-BABY-DRAGON.pdf	(from https://babydragon.space/)
21:29:49	43789/43789	---MCZ	200	added ('OK')	image/svg+xml	etag:%225cd4dacf5d9605f93dda5cb97a303714-ssl-df%22	https://babydragon.space/assets/img/social_picture.svg	C:/Users/LENOVO/Desktop/alok%20aditya/lelo/babydragon.space/assets/img/social_picture.svg	(from https://babydragon.space/)
21:29:49	177358/177358	---M-Z	200	added ('OK')	application/javascript	etag:W/%222b4ce-JAy9Zou33CT18TV7mlqTcE4x7IM%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-element-bundle.min.js	C:/Users/LENOVO/Desktop/alok%20aditya/lelo/cdn.jsdelivr.net/npm/swiper@11/swiper-element-bundle.min.js	(from https://babydragon.space/)
21:29:49	147274/147274	---M--	200	added ('OK')	image/png	etag:%228af15f8d82e51f338fca1493dbd2d33a-ssl%22	https://babydragon.space/assets/img/miro_text.png	C:/Users/LENOVO/Desktop/alok%20aditya/lelo/babydragon.space/assets/img/miro_text.png	(from https://babydragon.space/)
21:29:50	8182/8182	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04033-1ff6%22	https://cdnjs.cloudflare.com/ajax/libs/wow/1.1.2/wow.min.js	C:/Users/LENOVO/Desktop/alok%20aditya/lelo/cdnjs.cloudflare.com/ajax/libs/wow/1.1.2/wow.min.js	(from https://babydragon.space/)
21:29:51	87462/87462	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-155a6%22	https://code.jquery.com/jquery-3.7.0.min.js	C:/Users/LENOVO/Desktop/alok%20aditya/lelo/code.jquery.com/jquery-3.7.0.min.js	(from https://babydragon.space/)
21:29:52	1822/1822	---M-Z	200	added ('OK')	application/javascript	etag:%225309e75078831995b82ee41bd8ba8c53-ssl-df%22	https://babydragon.space/assets/js/main.js	C:/Users/LENOVO/Desktop/alok%20aditya/lelo/babydragon.space/assets/js/main.js	(from https://babydragon.space/)
